epoch,lr,time,loss
0,0.001,09:50:29,7.519120573997498
1,7.071067811865476e-07,09:51:44,7.4968873262405396
2,1.4142135623730952e-06,09:52:58,7.468110680580139
3,2.121320343559643e-06,09:54:11,7.433628559112549
4,2.8284271247461903e-06,09:55:24,7.4000022411346436
5,3.5355339059327374e-06,09:56:37,7.339622318744659
6,4.242640687119286e-06,09:57:50,7.260788023471832
7,4.949747468305833e-06,09:59:03,7.2351900935173035
8,5.656854249492381e-06,10:00:16,7.1080039739608765
9,6.363961030678928e-06,10:01:29,7.03152459859848
